Peano Meter,Final Voltage A (V),Final Voltage B (V),Final Voltage C (V),Distance to Transformer (m),Load A (kW),Load B (kW),Load C (kW),Group,Phases,Meter X,Meter Y,New Phase,New Load A,New Load B,New Load C
22456441,224.2505720516351,221.8660961915165,226.38561140617108,216.09863262475744,0.0,0.0,0.0,Group 1,C,1101301.0981085,1650867.377549,C,0.0,0.0,0.0
5901166823,223.22837092829116,221.99741253678638,225.7815684627253,319.93314675701043,0.6,0.0,0.0,Group 1,A,1101336.5161085,1650792.5965490001,A,0.6,0.0,0.0
18764256,223.15073405623662,221.8764692277824,225.26981108353155,326.0850242560048,0.15,0.0,0.0,Group 1,A,1101274.2021085,1650741.9915490001,B,0.0,0.15,0.0
5600570067,222.97033965009302,216.09039677848398,225.7135594318423,459.38015368432985,0.0,0.32,0.0,Group 1,B,1101453.3171085,1650792.8935490001,B,0.0,0.32,0.0
6100611765,222.8739136852875,215.92435092386776,225.68805723909355,535.9280558377799,0.0,0.0,0.0,Group 1,B,1101383.1751085,1650803.148549,C,0.0,0.0,0.0
6000069240,223.1566112659204,215.21341640343235,225.65885332680637,484.4251555777626,0.0,0.23,0.0,Group 1,B,1101558.9701085,1650843.719549,B,0.0,0.23,0.0
17309107,223.1566112659204,214.7720899443031,225.65885332680637,589.2714870647887,0.0,0.11,0.0,Group 1,B,1101665.9071085,1650825.323549,B,0.0,0.11,0.0
25354373,223.64332594600248,219.10158754808475,226.09155327652593,302.96722482442743,0.06,0.0,0.0,Group 1,A,1101377.3331085,1650868.9165490002,B,0.0,0.06,0.0
6201249324,220.0355608678684,226.36399847694284,226.2178396214896,291.0370253210791,0.3066666666666667,0.3066666666666667,0.3066666666666667,Group 1,ABC,1101120.9111085,1650628.972549,ABC,0.3066666666666667,0.3066666666666667,0.3066666666666667
5600600557,228.09596751012344,229.41386851237968,229.0936941495531,76.75131902428355,0.0,0.21,0.0,Group 1,B,1101070.6511085,1650925.236549,C,0.0,0.0,0.21
6100128829,216.85624527527196,222.10155445379715,225.0688490891547,376.9248776477245,0.1,0.0,0.0,Group 2,A,1100733.4861085,1650675.462549,B,0.0,0.1,0.0
6100612391,223.32283682758532,221.9645648588059,225.6425757366605,287.2634523792657,0.1,0.0,0.0,Group 1,A,1101284.8121085,1650795.429549,A,0.1,0.0,0.0
6200499152,223.33250975998288,221.99741253678638,225.7815684627253,293.91218357341046,0.03,0.0,0.0,Group 1,A,1101305.3651085,1650798.5625490001,A,0.03,0.0,0.0
6400009778,225.49479671117027,226.54488446912865,226.12553584782896,104.57784231725394,0.0,0.0,4.12,Group 2,C,1101030.2161085,1650647.584549,A,4.12,0.0,0.0
6100128831,217.40744039118965,222.2267995887182,225.07993642543457,340.06182331694447,0.16,0.0,0.0,Group 2,A,1100774.1641085,1650675.8835490001,A,0.16,0.0,0.0
6200566893,225.138909681252,223.42888034674925,226.9768947659938,171.85873261141117,0.0,0.0,0.04,Group 1,C,1101245.6161085,1650868.080549,C,0.0,0.0,0.04
6100349494,228.00924977881704,229.370120491447,229.42428956517531,136.26855611622858,0.14,0.0,0.0,Group 1,A,1101176.4741085,1650779.567549,C,0.0,0.0,0.14
C405185,217.03287038534438,222.2010773323243,225.05787102503933,355.12867274897445,0.0,0.0,0.35,Group 2,C,1100779.6951085,1650666.854549,B,0.0,0.35,0.0
5581355,215.74550259837315,222.2010773323243,225.05787102503933,428.1493782048483,0.24,0.0,0.0,Group 2,A,1100769.8671085,1650594.266549,C,0.0,0.0,0.24
21376071,215.10394787625336,222.2010773323243,225.05787102503933,478.8465663414983,0.36,0.0,0.0,Group 2,A,1100716.6671085,1650599.6405490001,A,0.36,0.0,0.0
6200716452,214.94703749851377,222.2010773323243,225.05787102503933,506.8148883148983,0.25,0.0,0.0,Group 2,A,1100683.6321085,1650603.0895490001,A,0.25,0.0,0.0
6100238505,227.6377565627887,229.34820280460892,228.8533571527244,130.56108609050108,0.01,0.0,0.0,Group 1,A,1101025.4561085,1650931.3055490002,A,0.01,0.0,0.0
6001243195,227.53986941195961,229.30895725510834,228.7097198015628,121.41240468991931,0.62,0.0,0.0,Group 1,A,1101040.8051085,1650930.0585490002,A,0.62,0.0,0.0
B901156,228.09596751012344,229.41386851237968,229.0936941495531,76.75131902428355,0.0,0.12,0.0,Group 1,B,1101090.5331085,1650929.4915490001,B,0.0,0.12,0.0
6001243181,224.3263553763073,222.06689960776677,226.43085483792777,264.400244716257,0.0,0.14,0.0,Group 1,B,1101326.7741085,1650895.834549,B,0.0,0.14,0.0
6000583635,223.0959032905628,214.75690688141975,225.39454864136084,590.4688589388372,0.0,0.52,0.0,Group 1,B,1101496.2751085,1650946.2105490002,B,0.0,0.52,0.0
A114522,228.09350811281337,228.91800112753006,229.16927746660275,158.75352525290361,0.21,0.0,0.0,Group 1,A,1100924.5261085,1650861.5625490001,B,0.0,0.21,0.0
21975542,228.09350811281337,228.91800112753006,229.16927746660275,158.75352525290361,0.14,0.0,0.0,Group 1,A,1100935.4061085,1650859.6905490002,B,0.0,0.14,0.0
28892673,227.74864681884873,228.78919149334143,229.07349944211072,224.01675614851993,0.11,0.0,0.0,Group 1,A,1100863.1701085,1650867.948549,C,0.0,0.0,0.11
18764245,227.5754871900481,228.73718944469573,229.07349944211072,266.87227355871994,0.14,0.0,0.0,Group 1,A,1100811.0781085,1650878.039549,A,0.14,0.0,0.0
20452815,227.5754871900481,228.73718944469573,229.07349944211072,266.87227355871994,0.0,0.09,0.0,Group 1,B,1100821.8471085,1650876.1295490002,B,0.0,0.09,0.0
6100612408,227.51101769711866,228.73718944469573,229.07349944211072,302.10244079505856,0.08,0.0,0.0,Group 1,A,1100820.5151085,1650911.5655490002,A,0.08,0.0,0.0
22549223,227.0669514094173,229.1001649987081,228.05380173063125,210.29715251106535,0.29,0.0,0.0,Group 1,A,1100950.0341085,1650928.655549,A,0.29,0.0,0.0
14107722,227.98096717864988,228.87232747689154,229.00742631953193,221.5073026684801,0.0,0.0,0.06,Group 1,C,1100872.0051085,1650820.247549,C,0.0,0.0,0.06
6100348103,219.97467037699332,222.58424236924,225.22440461656308,259.599020594863,0.0,0.51,0.0,Group 2,B,1100872.9651085,1650667.3495490002,A,0.51,0.0,0.0
6000078214,225.3049346020355,226.40343708766795,226.0015840341915,130.18949038578052,0.0,0.35,0.0,Group 2,B,1101044.9161085,1650643.652549,C,0.0,0.0,0.35
5900989034,224.617817858058,226.08221081292476,225.82066499028147,231.98765646659214,0.48,0.0,0.0,Group 2,A,1101062.7061085,1650566.705549,A,0.48,0.0,0.0
